pathway_id,pathway_name,source,n_genes,mean_AD,mean_Control,diff,p_value,effect_size,abs_effect,direction,q_value,significant_fdr,significant,neg_log10_p
GO:0002832,negative regulation of response to biotic stimulus,GO:BP,6,0.3302,0.4122,-0.082,0.0012225384873000072,0.74,0.74,↓ in AD,0.47627913180278064,False,True,2.9127374597635156
GO:0042181,ketone biosynthetic process,GO:BP,3,-0.0203,-0.1649,0.1446,0.0016566230671401067,-0.605,0.605,↑ in AD,0.47627913180278064,False,True,2.7807762957345994
GO:0005604,basement membrane,GO:CC,6,-0.2589,-0.1057,-0.1532,0.004527145702464683,0.65,0.65,↓ in AD,0.6196023633481573,False,True,2.344175527868757
KEGG:05144,Malaria,KEGG,3,-0.1573,0.0317,-0.189,0.005146472990389446,0.6,0.6,↓ in AD,0.6196023633481573,False,True,2.2884903021372667
GO:0042098,T cell proliferation,GO:BP,3,-0.2041,0.0,-0.2041,0.005515088376215019,0.55,0.55,↓ in AD,0.6196023633481573,False,True,2.2584475238411987
GO:0019430,removal of superoxide radicals,GO:BP,3,0.2286,0.2994,-0.0708,0.007775980919481272,0.61,0.61,↓ in AD,0.6196023633481573,False,True,2.1092448137420394
GO:0050796,regulation of insulin secretion,GO:BP,3,-0.024,-0.1305,0.1065,0.00849796937448564,-0.49,0.49,↑ in AD,0.6196023633481573,False,True,2.070684838381343
GO:0071396,cellular response to lipid,GO:BP,16,-0.2868,-0.1178,-0.169,0.008853730527249245,0.6,0.6,↓ in AD,0.6196023633481573,False,True,2.0528737003727158
GO:0032206,positive regulation of telomere maintenance,GO:BP,3,-0.0407,-0.1206,0.0799,0.012266274010107155,-0.52,0.52,↑ in AD,0.6196023633481573,False,True,1.9112873380548228
GO:0042446,hormone biosynthetic process,GO:BP,3,0.0,-0.1018,0.1018,0.012696089153847243,-0.3,0.3,↑ in AD,0.6196023633481573,False,True,1.8963300365613405
GO:0071222,cellular response to lipopolysaccharide,GO:BP,9,-0.3133,-0.177,-0.1363,0.012890678605447662,0.57,0.57,↓ in AD,0.6196023633481573,False,True,1.889724219431405
